index,title,image_url
2000,Pasta Primavera ,https://www.cookingclassy.com/wp-content/uploads/2018/09/pasta-primavera-2.jpg
2001,Cole Slaw ,https://dinnerthendessert.com/wp-content/uploads/2018/04/Cole-Slaw-2.jpg
2002,Beef Empañadas ,"https://assets.epicurious.com/photos/560d9a18f3a00aeb2f1cf74e/16:9/w_1280,c_limit/239955_hires.jpg?mbid=social_retweet"
2003,Fiesta Tortilla Salad ,https://www.hiddenvalley.com/wp-content/uploads/2021/04/fiesta-ranch-tortilla-chicken-salad-RDP.jpg
2004,"Crispy Skate with Cauliflower, Bacon, Capers, and Croutons ","https://assets.epicurious.com/photos/560d992c7b55306961bf7565/16:9/w_1280,c_limit/233702.jpg"
2005,Lemon Blueberry Cobbler ,https://getonmyplate.com/wp-content/uploads/2022/05/blueberry-lemon-cobbler-7-1200x1800.jpg
2006,Walnut Spice Cake with Lemon Glaze ,http://static1.squarespace.com/static/61291f433fb4c42b58818b4f/61293654d73b8763a339f451/62dd45702fbbd85a1fe087da/1662299342767/IMG_7904.JPG?format=1500w
2007,Dukkah-Crusted Lamb Chops with Pomegranate Molasses ,https://assets.epicurious.com/photos/560d9a937b55306961bf7901/1:1/w_2560%2Cc_limit/240666_hires.jpg
2008,Chicken and Spelt Soup with Greens ,https://www.jessicagavin.com/wp-content/uploads/2020/09/chicken-vegetable-soup-14.jpg
2009,Chilled Crab Cakes with a Tropical Fruit Coulis ,https://www.jocooks.com/wp-content/uploads/2018/12/crab-cakes-1.jpg
2010,Pistachio Cardamom Butter Cookies ,https://musingsfromthecook.files.wordpress.com/2018/12/pistachio-cardamom-butter-cookies.jpg?w=1100
2011,Fish Fillets in Mole Verde ,http://3.bp.blogspot.com/-vrTtuGWY5mA/UAUGVplPrcI/AAAAAAAAOKs/ai4vlNPXxF8/s1600/Fish+Mole+Collage+1.png
2012,Oatmeal Praline Ice Cream with Warm Berry Sauce ,https://assets.epicurious.com/photos/560df232f9a84192308a8546/1:1/w_600%2Ch_600/109493.jpg
2013,Cheddar Cheese Biscuits ,https://reallyintothis.com/wp-content/uploads/2019/02/Easy-Cheddar-Cheese-Biscuits-Really-Into-This-Basket.jpg
2014,Wasabi Lime Crab Salad in Cucumber Cups ,https://assets.epicurious.com/photos/560df8bcf9a84192308a8c72/1:1/w_600%2Ch_600/108161.jpg
2015,Ricotta-Pumpkin Gnocchi With Brown Butter ,https://www.theoriginaldish.com/wp-content/uploads/2021/10/Pumpkin-Ricotta-Gnocchi-3-scaled.jpg
2016,Roasted Chicken with Dijon Sauce ,https://www.modernfarmhouseeats.com/wp-content/uploads/2021/02/Chicken-with-Dijon-Cream-Sauce-18-1365x2048.jpg
2017,Lemon-Oregano Chicken ,https://www.shockinglydelicious.com/wp-content/uploads/2020/05/Easy-Sticky-Lemon-Oregano-Chicken-on-ShockinglyDelicious.com_.jpg
2018,Oysters with Spicy Jícama Salad ,https://as2.ftcdn.net/v2/jpg/03/00/54/15/1000_F_300541558_rWKN9pwxLwj8qkfnK63njNAn9cbic3CK.jpg
2019,Beef Rolls with Ham and Vegetables Stuffing ,https://lh3.googleusercontent.com/Yrl-6lmjwjhCx1SLcUAP47w_jcWmx1bbwm8eNSYjG6SSXVarluw3IC5tRQwBWszazthqHUPtRnW-WeOb4b5YCd-QKqZfSrbuhWMrGA=w600-l68
2020,Green-Peppercorn Cornmeal Crackers ,http://assets.epicurious.com/photos/54b3138b460b4423363e991f/1:1/w_600%2Ch_600/357979_cornmeal-crackers_1x1.jpg
2021,Cilantro-Chipotle Tilapia ,https://i.pinimg.com/originals/f7/4c/a7/f74ca7ac4ed3d24045f8454ec446b593.jpg
2022,Creamy Scrambled Eggs with Spinach ,https://healthyrecipesblogs.com/wp-content/uploads/2022/07/spinach-and-eggs-1-2022.jpg
2023,"Soba with Pea Shoots, Shiitake Mushrooms, and Leeks ",https://herbivoracious.com/images/old/6a00e008d618bb88340115701752a4970b-800wi.jpg
2024,Lemon Olive-Oil Cake ,https://gffmag.com/wp-content/uploads/2019/03/Lemon-Olive-Oil-Cake-e1556743665496.jpg
2025,Fettuccine With Artichokes ,https://dish.co.nz/assets/media/2020/02/25/dish-recipes-89-fettucine-with-artichokes__FillWzg1MCwxMTc0XQ.png
2026,"Baked Apples with Toffee, Bourbon and Molasses ",https://i.pinimg.com/originals/18/93/59/189359a00d3654b5837de1b204c17dc7.png
2027,"Spinach, Basil Ricotta Purée ",https://food-images.files.bbci.co.uk/food/recipes/spinach_and_ricotta_58990_16x9.jpg
2028,Jamaican Coffee Brownies with Pecans ,https://assets.epicurious.com/photos/560dd752f9a84192308a4d67/1:1/w_2560%2Cc_limit/234819.jpg
2029,Pear and Apple Crostata with Five-Spice Whipped Cream ,"https://assets.epicurious.com/photos/561025c97b55306961bffe93/16:9/w_1280,c_limit/103168.jpg"
2030,"Green Bean, Orange, and Green Olive Salad ",https://www.asouthernsoul.com/wp-content/uploads/2020/07/green-bean-salad-half-bowl.png
2031,Greek Honey and Anise Twists ,https://images-na.ssl-images-amazon.com/images/I/71-AsO%2B4hlL._AC_SL1500_.jpg
2032,Ginger Cakes with Molten Chocolate Centers and Ginger Crème Anglaise ,https://www.cookingwithmykids.co.uk/wp-content/uploads/2020/11/Ginger-cake-Mary-Berry24-scaled.jpg
2033,Crab Cakes with Herb Salad ,https://i.pinimg.com/736x/36/60/6f/36606fe8b09c69c7ddc86152d4187dc9--crab-cake-recipes-seafood-dishes.jpg
2034,Smoked Whiskey Wings ,http://assets.epicurious.com/photos/54af4174c4a891cc44ccc13d/master/pass/51175660_whiskey-wings_1x1.jpg
2035,Anise Cookie Baskets with Riesling Ice Cream and Fresh Fruit ,https://www.mirlandraskitchen.com/wp-content/uploads/2016/12/Anise-Cookies-600x900.jpg
